일시,평균습도(%rh),최저습도(%rh)
2015-01-01,57,46
2015-01-02,59.8,41
2015-01-03,70.5,52
2015-01-04,91,76
2015-01-05,86.4,52
2015-01-06,63.5,42
2015-01-07,46.1,37
2015-01-08,63.3,43
2015-01-09,74.3,47
2015-01-10,74.3,50
2015-01-11,72.3,52
2015-01-12,53,41
2015-01-13,61.4,44
2015-01-14,60.4,43
2015-01-15,76.1,53
2015-01-16,85.6,70
2015-01-17,62.4,49
2015-01-18,83.9,63
2015-01-19,84.1,64
2015-01-20,78,55
2015-01-21,75.3,57
2015-01-22,78.1,66
2015-01-23,86.8,63
2015-01-24,82.9,67
2015-01-25,92.8,67
2015-01-26,94.3,79
2015-01-27,66,51
2015-01-28,63,53
2015-01-29,73.9,55
2015-01-30,66.5,51
2015-01-31,59.1,47
2015-02-01,58.5,40
2015-02-02,67,39
2015-02-03,82,52
2015-02-04,90,66
2015-02-05,80.3,62
2015-02-06,77.1,64
2015-02-07,84.8,63
2015-02-08,49.5,43
2015-02-09,69.5,39
2015-02-10,83.3,66
2015-02-11,76.9,40
2015-02-12,53.3,30
2015-02-13,60.4,34
2015-02-14,92,80
2015-02-15,75.4,56
2015-02-16,99,69
2015-02-17,91.3,73
2015-02-18,85,74
2015-02-19,80,64
2015-02-20,71.9,48
2015-02-21,88.1,61
2015-02-22,84.4,62
2015-02-23,76.6,60
2015-02-24,78.1,59
2015-02-25,73,40
2015-02-26,71.9,41
2015-02-27,51.4,40
2015-02-28,53.8,32
2015-03-01,76.5,54
2015-03-02,70.5,45
2015-03-03,80.5,47
2015-03-04,57.9,45
2015-03-05,59,39
2015-03-06,62.9,24
2015-03-07,76.3,48
2015-03-08,70.5,43
2015-03-09,65,41
2015-03-10,48.8,37
2015-03-11,61.4,35
2015-03-12,59.8,41
2015-03-13,67,33
2015-03-14,53.9,33
2015-03-15,79.1,32
2015-03-16,67.9,35
2015-03-17,76.9,50
2015-03-18,77.5,56
2015-03-19,71.3,48
2015-03-20,62.5,24
2015-03-21,61.9,38
2015-03-22,62.3,25
2015-03-23,41.4,24
2015-03-24,51.3,26
2015-03-25,75.4,31
2015-03-26,83.9,41
2015-03-27,90.4,57
2015-03-28,59.6,22
2015-03-29,94.5,65
2015-03-30,85,45
2015-03-31,96.8,88
2015-04-01,76.1,49
2015-04-02,80.1,60
2015-04-03,96.9,86
2015-04-04,67.1,44
2015-04-05,89.3,71
2015-04-06,75.6,39
2015-04-07,71.1,56
2015-04-08,70.3,52
2015-04-09,63,43
2015-04-10,60.4,34
2015-04-11,64.9,33
2015-04-12,46.6,21
2015-04-13,64.6,35
2015-04-14,99,99
2015-04-15,93.1,75
2015-04-16,80.8,60
2015-04-17,71.6,50
2015-04-18,40.5,17
2015-04-19,93,30
2015-04-20,88,60
2015-04-21,68.5,36
2015-04-22,73.1,58
2015-04-23,70.3,39
2015-04-24,66,32
2015-04-25,47.4,30
2015-04-26,52.8,26
2015-04-27,65.6,49
2015-04-28,60.5,27
2015-04-29,94.8,77
2015-04-30,80.3,58
2015-05-01,87.4,66
2015-05-02,88.1,62
2015-05-03,99,99
2015-05-04,57.8,23
2015-05-05,61.5,39
2015-05-06,58.5,26
2015-05-07,74,17
2015-05-08,92.1,72
2015-05-09,84,68
2015-05-10,63.6,31
2015-05-11,73.9,54
2015-05-12,96.8,81
2015-05-13,82.8,63
2015-05-14,90.4,75
2015-05-15,92,51
2015-05-16,64.5,35
2015-05-17,63.4,20
2015-05-18,74.9,47
2015-05-19,99,99
2015-05-20,77.6,55
2015-05-21,77.6,42
2015-05-22,78.6,55
2015-05-23,66,28
2015-05-24,69.9,34
2015-05-25,88.4,57
2015-05-26,88.9,51
2015-05-27,62.6,23
2015-05-28,55.4,25
2015-05-29,72.4,45
2015-05-30,98.8,73
2015-05-31,81.3,54
2015-06-01,73.1,40
2015-06-02,74,47
2015-06-03,53.5,27
2015-06-04,63.3,39
2015-06-05,74.5,46
2015-06-06,67.8,46
2015-06-07,72.1,43
2015-06-08,83.8,65
2015-06-09,96.9,84
2015-06-10,84.9,53
2015-06-11,82,45
2015-06-12,87.4,55
2015-06-13,85.9,69
2015-06-14,93.1,75
2015-06-15,90.8,67
2015-06-16,95,83
2015-06-17,93.4,75
2015-06-18,81.9,62
2015-06-19,77.9,58
2015-06-20,99,99
2015-06-21,88.6,58
2015-06-22,83.6,66
2015-06-23,91.1,73
2015-06-24,84.8,55
2015-06-25,94.3,70
2015-06-26,91,72
2015-06-27,80.4,56
2015-06-28,92.1,70
2015-06-29,92.4,71
2015-06-30,90.8,64
2015-07-01,90.9,64
2015-07-02,95.4,62
2015-07-03,86.8,55
2015-07-04,82.1,60
2015-07-05,84.6,50
2015-07-06,83.5,55
2015-07-07,79.9,49
2015-07-08,85.8,58
2015-07-09,81.6,62
2015-07-10,89,72
2015-07-11,86.8,65
2015-07-12,99,99
2015-07-13,99,99
2015-07-14,99,91
2015-07-15,84.3,61
2015-07-16,66,52
2015-07-17,65.5,46
2015-07-18,90.1,64
2015-07-19,91.1,66
2015-07-20,97.1,83
2015-07-21,97,83
2015-07-22,97.3,86
2015-07-23,98.8,92
2015-07-24,99,99
2015-07-25,99,99
2015-07-26,99,98
2015-07-27,99,99
2015-07-28,96.9,80
2015-07-29,99,99
2015-07-30,97.4,86
2015-07-31,98.8,92
2015-08-01,98.8,91
2015-08-02,99,99
2015-08-03,99,96
2015-08-04,99,94
2015-08-05,96.6,69
2015-08-06,93.1,64
2015-08-07,90.8,71
2015-08-08,96.9,85
2015-08-09,98.8,90
2015-08-10,95.4,80
2015-08-11,98,87
2015-08-12,91.6,62
2015-08-13,93.6,73
2015-08-14,92.6,68
2015-08-15,97.8,83
2015-08-16,94.5,72
2015-08-17,86.5,56
2015-08-18,79,57
2015-08-19,93.4,74
2015-08-20,96.5,83
2015-08-21,97.8,77
2015-08-22,93.4,70
2015-08-23,92.6,72
2015-08-24,79.4,61
2015-08-25,93.9,73
2015-08-26,88,69
2015-08-27,80.4,48
2015-08-28,89.6,66
2015-08-29,87.8,63
2015-08-30,88.9,58
2015-08-31,87.3,64
2015-09-01,78.6,53
2015-09-02,92.3,68
2015-09-03,92.9,72
2015-09-04,90.1,67
2015-09-05,95.6,85
2015-09-06,77.9,60
2015-09-07,64,44
2015-09-08,48.3,25
2015-09-09,54.6,41
2015-09-10,82.1,54
2015-09-11,94.5,75
2015-09-12,74.8,41
2015-09-13,69.6,40
2015-09-14,82.5,62
2015-09-15,59.3,31
2015-09-16,55.6,36
2015-09-17,61.1,37
2015-09-18,70.8,52
2015-09-19,82.4,53
2015-09-20,90.6,67
2015-09-21,87.9,66
2015-09-22,73.4,33
2015-09-23,82.5,54
2015-09-24,84.4,52
2015-09-25,87.9,59
2015-09-26,73.8,45
2015-09-27,55.5,33
2015-09-28,61.1,32
2015-09-29,50.8,25
2015-09-30,59,42
2015-10-01,88.3,58
2015-10-02,63.4,44
2015-10-03,62.8,25
2015-10-04,53.5,32
2015-10-05,62.5,34
2015-10-06,77.3,48
2015-10-07,92.6,75
2015-10-08,84.6,41
2015-10-09,51.6,23
2015-10-10,80.1,52
2015-10-11,85.8,61
2015-10-12,70.6,49
2015-10-13,82.6,53
2015-10-14,85.4,42
2015-10-15,85,49
2015-10-16,87.3,61
2015-10-17,89.3,53
2015-10-18,89.9,56
2015-10-19,91.6,61
2015-10-20,92.1,71
2015-10-21,94,69
2015-10-22,86.1,65
2015-10-23,87.3,69
2015-10-24,78.5,54
2015-10-25,71.3,44
2015-10-26,76.3,57
2015-10-27,78,51
2015-10-28,58.1,42
2015-10-29,55.6,32
2015-10-30,51.6,40
2015-10-31,51.1,39
2015-11-01,64,46
2015-11-02,75.6,58
2015-11-03,81.3,50
2015-11-04,82.4,51
2015-11-05,85.4,63
2015-11-06,76.3,50
2015-11-07,98,98
2015-11-08,98,98
2015-11-09,96.4,84
2015-11-10,93.9,81
2015-11-11,90,69
2015-11-12,77.6,59
2015-11-13,88.8,66
2015-11-14,98,98
2015-11-15,96.5,82
2015-11-16,94.9,73
2015-11-17,85.3,65
2015-11-18,87.8,70
2015-11-19,88.3,77
2015-11-20,86.8,70
2015-11-21,73,52
2015-11-22,84.4,65
2015-11-23,95.3,86
2015-11-24,85.5,66
2015-11-25,92.6,77
2015-11-26,78.6,64
2015-11-27,71.8,63
2015-11-28,80.8,58
2015-11-29,96.9,89
2015-11-30,85.3,59
2015-12-01,67.4,35
2015-12-02,81,49
2015-12-03,90.3,73
2015-12-04,80.8,69
2015-12-05,61.9,34
2015-12-06,55.5,35
2015-12-07,66.9,49
2015-12-08,72,50
2015-12-09,71.5,47
2015-12-10,90.3,72
2015-12-11,67.6,40
2015-12-12,58.9,44
2015-12-13,65.8,40
2015-12-14,86.4,64
2015-12-15,79.5,61
2015-12-16,66.9,51
2015-12-17,54.6,41
2015-12-18,69.1,60
2015-12-19,82.9,55
2015-12-20,73,59
2015-12-21,88.8,61
2015-12-22,88.9,73
